"Status","Class","FriendlyName","InstanceId"
"OK","Bluetooth","QCY-T13 ANC Avrcp Transport","BTHENUM\{0000110C-0000-1000-8000-00805F9B34FB}_VID&000105D6_PID&000A\5&20E1259&0&1C521695A8E8_C00000000"
"OK","Bluetooth","QCY-T13 ANC Avrcp Transport","BTHENUM\{0000110E-0000-1000-8000-00805F9B34FB}_VID&000105D6_PID&000A\5&20E1259&0&1C521695A8E8_C00000000"
"OK","System","QCY-T13 ANC Hands-Free AG","BTHENUM\{0000111E-0000-1000-8000-00805F9B34FB}_HCIBYPASS_VID&000105D6_PID&000A\5&20E1259&0&1C521695A8E8_C00000000"
"OK",,"JL_SPP","BTHENUM\{FE010000-1234-5678-ABCD-00805F9B34FB}_VID&000105D6_PID&000A\5&20E1259&0&1C521695A8E8_C00000000"
"OK","Bluetooth","QCY-T13 ANC","BTHENUM\DEV_1C521695A8E8\5&20E1259&0&BLUETOOTHDEVICE_1C521695A8E8"
"OK","Bluetooth","Pebble M350s","BTHLE\DEV_D0881E7540C9\5&18C35BC1&0&D0881E7540C9"
"OK","Bluetooth","Pebble M350s","BTHLE\DEV_D0881E7540CB\5&18C35BC1&0&D0881E7540CB"
"OK","Bluetooth","Logi K855","BTHLE\DEV_D5177F1F6103\5&18C35BC1&0&D5177F1F6103"
"OK","Bluetooth","Logi K855","BTHLE\DEV_D5177F1F6105\5&18C35BC1&0&D5177F1F6105"
"OK","Bluetooth","Generic Access Profile","BTHLEDEVICE\{00001800-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B036_REV&0007_D0881E7540C9\6&B34B413&0&0001"
"OK","Bluetooth","Generic Access Profile","BTHLEDEVICE\{00001800-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B036_REV&0007_D0881E7540CB\6&222CE9E1&0&0001"
"OK","Bluetooth","Generic Access Profile","BTHLEDEVICE\{00001800-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B372_REV&0013_D5177F1F6103\6&337BAEF1&0&0001"
"OK","Bluetooth","Generic Access Profile","BTHLEDEVICE\{00001800-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B372_REV&0013_D5177F1F6105\6&33C23F45&0&0001"
"OK","Bluetooth","Generic Attribute Profile","BTHLEDEVICE\{00001801-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B036_REV&0007_D0881E7540C9\6&B34B413&0&000A"
"OK","Bluetooth","Generic Attribute Profile","BTHLEDEVICE\{00001801-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B036_REV&0007_D0881E7540CB\6&222CE9E1&0&000A"
"OK","Bluetooth","Generic Attribute Profile","BTHLEDEVICE\{00001801-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B372_REV&0013_D5177F1F6103\6&337BAEF1&0&000A"
"OK","Bluetooth","Generic Attribute Profile","BTHLEDEVICE\{00001801-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B372_REV&0013_D5177F1F6105\6&33C23F45&0&000A"
"OK","Bluetooth","Device Information Service","BTHLEDEVICE\{0000180A-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B036_REV&0007_D0881E7540C9\6&B34B413&0&000E"
"OK","Bluetooth","Device Information Service","BTHLEDEVICE\{0000180A-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B036_REV&0007_D0881E7540CB\6&222CE9E1&0&000E"
"OK","Bluetooth","Device Information Service","BTHLEDEVICE\{0000180A-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B372_REV&0013_D5177F1F6103\6&337BAEF1&0&000E"
"OK","Bluetooth","Device Information Service","BTHLEDEVICE\{0000180A-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B372_REV&0013_D5177F1F6105\6&33C23F45&0&000E"
"OK","Bluetooth","Bluetooth LE Generic Attribute Service","BTHLEDEVICE\{0000180F-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B036_REV&0007_D0881E7540C9\6&B34B413&0&001B"
"OK","Bluetooth","Bluetooth LE Generic Attribute Service","BTHLEDEVICE\{0000180F-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B036_REV&0007_D0881E7540CB\6&222CE9E1&0&001B"
"OK","Bluetooth","Bluetooth LE Generic Attribute Service","BTHLEDEVICE\{0000180F-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B372_REV&0013_D5177F1F6103\6&337BAEF1&0&001B"
"OK","Bluetooth","Bluetooth LE Generic Attribute Service","BTHLEDEVICE\{0000180F-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B372_REV&0013_D5177F1F6105\6&33C23F45&0&001B"
"OK","HIDClass","Bluetooth Low Energy GATT compliant HID device","BTHLEDEVICE\{00001812-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B036_REV&0007_D0881E7540C9\6&B34B413&0&001F"
"OK","HIDClass","Bluetooth Low Energy GATT compliant HID device","BTHLEDEVICE\{00001812-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B036_REV&0007_D0881E7540CB\6&222CE9E1&0&001F"
"OK","HIDClass","Bluetooth Low Energy GATT compliant HID device","BTHLEDEVICE\{00001812-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B372_REV&0013_D5177F1F6103\6&337BAEF1&0&001F"
"OK","HIDClass","Bluetooth Low Energy GATT compliant HID device","BTHLEDEVICE\{00001812-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B372_REV&0013_D5177F1F6105\6&33C23F45&0&001F"
"OK","Bluetooth","Bluetooth LE Generic Attribute Service","BTHLEDEVICE\{0000FD72-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B036_REV&0007_D0881E7540C9\6&B34B413&0&0036"
"OK","Bluetooth","Bluetooth LE Generic Attribute Service","BTHLEDEVICE\{0000FD72-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B036_REV&0007_D0881E7540CB\6&222CE9E1&0&0036"
"OK","Bluetooth","Bluetooth LE Generic Attribute Service","BTHLEDEVICE\{0000FD72-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B372_REV&0013_D5177F1F6103\6&337BAEF1&0&003F"
"OK","Bluetooth","Bluetooth LE Generic Attribute Service","BTHLEDEVICE\{0000FD72-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B372_REV&0013_D5177F1F6105\6&33C23F45&0&003F"
"OK","Bluetooth","Bluetooth LE Generic Attribute Service","BTHLEDEVICE\{00010000-0000-1000-8000-011F2000046D}_DEV_VID&02046D_PID&B036_REV&0007_D0881E7540C9\6&B34B413&0&0043"
"OK","Bluetooth","Bluetooth LE Generic Attribute Service","BTHLEDEVICE\{00010000-0000-1000-8000-011F2000046D}_DEV_VID&02046D_PID&B036_REV&0007_D0881E7540CB\6&222CE9E1&0&0043"
"OK","Bluetooth","Bluetooth LE Generic Attribute Service","BTHLEDEVICE\{00010000-0000-1000-8000-011F2000046D}_DEV_VID&02046D_PID&B372_REV&0013_D5177F1F6103\6&337BAEF1&0&004C"
"OK","Bluetooth","Bluetooth LE Generic Attribute Service","BTHLEDEVICE\{00010000-0000-1000-8000-011F2000046D}_DEV_VID&02046D_PID&B372_REV&0013_D5177F1F6105\6&33C23F45&0&004C"
"OK","HIDClass","Surface Button Converted Portable Button Device","BUTTONCONVERTER\CONVERTEDDEVICE\5&25D3E157&0&0"
"OK","HIDClass","Surface Button Converted Portable Button Device","BUTTONCONVERTER\CONVERTEDDEVICE\9&49CF06A&0&0"
"Unknown","Monitor","Generic Monitor (LG SIGNAGE)","DISPLAY\GSM0001\3&E596AA7&0&UID5"
"Unknown","Monitor","Generic Monitor (LG SIGNAGE)","DISPLAY\GSM0003\3&E596AA7&0&UID5"
"Unknown","Monitor","Generic Monitor (LG FULL HD)","DISPLAY\GSM5BDF\3&E596AA7&0&UID3"
"OK","Monitor","Generic Monitor (LG FULL HD)","DISPLAY\GSM5BDF\3&E596AA7&0&UID5"
"OK","Monitor","Surface Calibrated Panel","DISPLAY\LGD0555\3&E596AA7&0&UID0"
"OK","Camera","Surface Camera AVStream Device","DISPLAY\QCOM_AVSTREAM_8180\3&E596AA7&0&UID32768"
"Unknown","Mouse","HID-compliant mouse","HID\{00001812-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B036_REV&0007_D0881E7540C9&COL01\7&38FC3209&0&0000"
"Unknown","HIDClass","HID-compliant vendor-defined device","HID\{00001812-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B036_REV&0007_D0881E7540C9&COL02\7&38FC3209&0&0001"
"OK","Mouse","HID-compliant mouse","HID\{00001812-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B036_REV&0007_D0881E7540CB&COL01\7&59D2377&0&0000"
"OK","HIDClass","HID-compliant vendor-defined device","HID\{00001812-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B036_REV&0007_D0881E7540CB&COL02\7&59D2377&0&0001"
